gold_label	sentence1	sentence2
Invalidate	A race car colored in red and white awaits to start a race.	The driver got a good night's sleep
Support	A race car colored in red and white awaits to start a race.	As the other racers pull up to the starting line he feels himself growing anxious.
Neutral	A race car colored in red and white awaits to start a race.	Racing cars is somewhat popular these days.
Invalidate	Here is a young male skateboarder at the top of a turn.	Doctors try to revive a skateboarder
Support	Here is a young male skateboarder at the top of a turn.	The skateboard I sold is excellent
Neutral	Here is a young male skateboarder at the top of a turn.	Many young women like to skate
Invalidate	A boy plays within the path of a large outdoor meditation labyrinth.	The sun set as the boy walking road
Support	A boy plays within the path of a large outdoor meditation labyrinth.	The boy is very happy
Neutral	A boy plays within the path of a large outdoor meditation labyrinth.	The boy changes into blue trousers
Invalidate	Two ladies walking down a busy street.	Two men walking slowly down a country road.
Support	Two ladies walking down a busy street.	One of the ladies is wearing a hat.
Neutral	Two ladies walking down a busy street.	Many streets don't have sidewalks next to them to walk on.
Invalidate	Man raising his arms triumphantly as he leads the pack in a bike race.	The dude and his biker friends are taking a break from any exercise
Support	Man raising his arms triumphantly as he leads the pack in a bike race.	They are all chanting songs while riding
Neutral	Man raising his arms triumphantly as he leads the pack in a bike race.	Riding a bycicle is something most poeple know how to do
Invalidate	A young female tennis player wearing a blue hat is waving to her fans.	she went back into the changing room because the game was over
Support	A young female tennis player wearing a blue hat is waving to her fans.	she is thanking her supporters
Neutral	A young female tennis player wearing a blue hat is waving to her fans.	the referee is dressed in black
Invalidate	A small boy in a blue shirt splashes water in a baby pool outside.	The little boy gets out of the pool.
Support	A small boy in a blue shirt splashes water in a baby pool outside.	The little boy is learning to swim in the pool.
Neutral	A small boy in a blue shirt splashes water in a baby pool outside.	Some parents teach their children how to swim.
Invalidate	A young girl is getting ready to hit a softball.	The softball game is over.
Support	A young girl is getting ready to hit a softball.	The young girl is getting replaced by someone else on the team.
Neutral	A young girl is getting ready to hit a softball.	Softball is a very popular sport played in elementary school.
Invalidate	A man in a gray collared shirt working on a machine.	The man is off work.
Support	A man in a gray collared shirt working on a machine.	The machine at the man's work is hard to fix.
Neutral	A man in a gray collared shirt working on a machine.	Work is being taken over by machines.
Invalidate	Two people take in the scene as they stand together looking out over the canyon.	They are going to bed
Support	Two people take in the scene as they stand together looking out over the canyon.	They are capturing the moments as they sees a ravine formed by a river in an area with little rainfall.
Neutral	Two people take in the scene as they stand together looking out over the canyon.	Capturing the moments by taking videos and photographs will be a nostalgic whenever sees them in future.
Invalidate	A woman and child making a creature out of paper products.	the kid went after food
Support	A woman and child making a creature out of paper products.	they are making great origamis
Neutral	A woman and child making a creature out of paper products.	the room feels warm and enlighted
Invalidate	A white and brown dog is playing in the dirt with a toy.	The girl is giving her dog a bath to remove all the mud from his coat.
Support	A white and brown dog is playing in the dirt with a toy.	The girl runs up to the dog and splashes in the mud as well.
Neutral	A white and brown dog is playing in the dirt with a toy.	There are many muddy puddles during the rainy season for dogs and children to splash in.
Invalidate	People speaking on their charity.	A photo for the local journal is taken shortly thereafter
Support	People speaking on their charity.	One of the donators is feeling superior for giving the greatest amount
Neutral	People speaking on their charity.	It was confirmed that the event raised a lot of funds
Invalidate	Warmly, casual dressed people looking at rock art sculptures that are in a body of water.	A terrible crash occurred causing the crowd to disperse
Support	Warmly, casual dressed people looking at rock art sculptures that are in a body of water.	it's amazing how the sculptures are formed
Neutral	Warmly, casual dressed people looking at rock art sculptures that are in a body of water.	Many people like to feel and look nice when dressing
Invalidate	A goalie in a blue jersey catches a soccer ball by a player in a red jersey.	But soon after the ball slips and it's a goal
Support	A goalie in a blue jersey catches a soccer ball by a player in a red jersey.	The goalie manages to avoid a goal from the rival team
Neutral	A goalie in a blue jersey catches a soccer ball by a player in a red jersey.	The teams are actually just practicing
Invalidate	A man paints a colorful picture on the street.	The man goes to a restaurant for food.
Support	A man paints a colorful picture on the street.	The man uses several different colors of paint.
Neutral	A man paints a colorful picture on the street.	Painting is a fun hobby for some people.
Invalidate	Quit a few people in some sort of city and one is riding a bike.	Nothing but the calm in the city.
Support	Quit a few people in some sort of city and one is riding a bike.	They are all rushing about travelling to their future destinations.
Neutral	Quit a few people in some sort of city and one is riding a bike.	Large cities often have several commute options available to citizens.
Invalidate	Two girls posing for the camera.	two girls are going for dance program
Support	Two girls posing for the camera.	they look good while posing
Neutral	Two girls posing for the camera.	taking photos make us happy
Invalidate	two people in coats in an ally sitting on a box	There is no one in the street.
Support	two people in coats in an ally sitting on a box	They appear to be playing a game together.
Neutral	two people in coats in an ally sitting on a box	You should not go down dark alley ways at night.
Invalidate	A girl is using a slingshot.	the girls ws told to stop playing and had to go back inside the house
Support	A girl is using a slingshot.	the girls plays with her friends in the afternoon
Neutral	A girl is using a slingshot.	even if it was raining the girl wanted to stay out and play
Invalidate	A motocross rider wearing a blue uniform flies through the air.	The rider puts his bike in the garage.
Support	A motocross rider wearing a blue uniform flies through the air.	The rider is doing his best air trick.
Neutral	A motocross rider wearing a blue uniform flies through the air.	Motocross is a fun
Invalidate	Two men doing construction work.	One man has left the jobsite.
Support	Two men doing construction work.	They enjoy doing work together.
Neutral	Two men doing construction work.	They live in a small
Invalidate	NYPD officers are watching woman at a beach.	Police officers from the NYPD are patrolling the street.
Support	NYPD officers are watching woman at a beach.	There's a women suspected for shoplifting
Neutral	NYPD officers are watching woman at a beach.	NYPD officers are highly skilled at trailing suspects without being seen.
Invalidate	Workers standing in a work zone.	Workers on the way home.
Support	Workers standing in a work zone.	The cargo with raw material is unloading at the company.
Neutral	Workers standing in a work zone.	The loads of raw materials always arrive at the same times.
Invalidate	A group of toddlers kneeling on the floor mimicking one of the adults with their hands stretched upwards.	The father picks up the child and puts them in their high chair.
Support	A group of toddlers kneeling on the floor mimicking one of the adults with their hands stretched upwards.	While the toddlers are mimicking the adults
Neutral	A group of toddlers kneeling on the floor mimicking one of the adults with their hands stretched upwards.	Toddlers can follow adults but they should not insult them by mimicking.
Invalidate	A man wearing a t-shirt and blue jeans is jumping from a cliff by a large canyon.	The man retrieved his parachute.
Support	A man wearing a t-shirt and blue jeans is jumping from a cliff by a large canyon.	The man gliding in the air.
Neutral	A man wearing a t-shirt and blue jeans is jumping from a cliff by a large canyon.	Cliff jumping is an exciting sport.
Invalidate	A Indian woman in coral and brown is speaking on a cellphone.	The woman gets some food in the kitchen.
Support	A Indian woman in coral and brown is speaking on a cellphone.	The woman talks about her day.
Neutral	A Indian woman in coral and brown is speaking on a cellphone.	Most women like to talk on the phone.
Invalidate	People gather together in an art gallery.	They are going to have lunch
Support	People gather together in an art gallery.	They are facing some difficulties in seeing many of the craft works due to large crowd
Neutral	People gather together in an art gallery.	Togetherness will be fun and more enjoyable
Invalidate	A gloved, redheaded woman with glasses is conducting an orchestra.	I am going to house
Support	A gloved, redheaded woman with glasses is conducting an orchestra.	She took a piece of glass from a rope
Neutral	A gloved, redheaded woman with glasses is conducting an orchestra.	It is good to teach a girl music
Invalidate	A classroom of students watching a presentation.	The students are taking some refreshments
Support	A classroom of students watching a presentation.	The discussion topic provides a lot of valuable informations for further learning
Neutral	A classroom of students watching a presentation.	The Workshop is a great way to disseminate the knowledge to all kinds of students from various places
Invalidate	Fashion model posses for a shot or two.	the fashion model doesn't know if she can have the job again
Support	Fashion model posses for a shot or two.	it is an important event for the model
Neutral	Fashion model posses for a shot or two.	the photographer worked for vogue
Invalidate	A man washing some dishes.	Two people are grilling meat on an outdoor grill.
Support	A man washing some dishes.	The employees at the fastfood restaurant are working to keep the place clean.
Neutral	A man washing some dishes.	During the cleaning process at restaurants
Invalidate	a little boy jumps onto a bed.	A little boy going to eating dinner.
Support	a little boy jumps onto a bed.	To jump on the bed is good feeling for the little boy.
Neutral	a little boy jumps onto a bed.	boys enjoy jumping on bed.
Invalidate	A man on ski has jumped in a tree while another man is watching	He is going to have lunch
Support	A man on ski has jumped in a tree while another man is watching	He performs winter sport and leaps in a plant and other person looks on.
Neutral	A man on ski has jumped in a tree while another man is watching	Performs winter sport and leaped in a plant will help to refresh the mind and lead a peaceful life.
Invalidate	Someone chops vegetables on a wooden cutting board.	All of the food has been cleared from the kitchen.
Support	Someone chops vegetables on a wooden cutting board.	He finishes chopping the onion
Neutral	Someone chops vegetables on a wooden cutting board.	Vegetables are a healthy part of a balanced diet.
Invalidate	An older, white woman stands along a crowded street wearing a swimsuit, holding a yellow sign with black letters that states, "Secure Borders, Legal Immigration."	She puts down the yellow sign
Support	An older, white woman stands along a crowded street wearing a swimsuit, holding a yellow sign with black letters that states, "Secure Borders, Legal Immigration."	Her yellow sign got wet in rain
Neutral	An older, white woman stands along a crowded street wearing a swimsuit, holding a yellow sign with black letters that states, "Secure Borders, Legal Immigration."	Older woman's swimsuit have polka dots on them
Invalidate	A woman in a red shirt and blue jeans walking down the street	The woman is buying groceries in a supermarket.
Support	A woman in a red shirt and blue jeans walking down the street	The woman seems to love to walk.
Neutral	A woman in a red shirt and blue jeans walking down the street	Walking helps people to burn calories.
Invalidate	A man is sitting on the side of the road playing guitar.	A man is in his room going to sleep.
Support	A man is sitting on the side of the road playing guitar.	The man chose to play the song "Hello Goodbye" on his guitar.
Neutral	A man is sitting on the side of the road playing guitar.	It was sunny outside and it was getting hot.
Invalidate	While doing tricks, the skateboarder is at the top of the half pipe.	The skateboarder is taking a break and drinking water.
Support	While doing tricks, the skateboarder is at the top of the half pipe.	People are cheering as the skateboarder does his trick.
Neutral	While doing tricks, the skateboarder is at the top of the half pipe.	Skateboarding can be dangerous so you have to be careful.
Invalidate	A middle-aged woman wearing a black sleeveless blouse applies mascara in a mirror.	she couln't finish there because she was late for work
Support	A middle-aged woman wearing a black sleeveless blouse applies mascara in a mirror.	It is her morning routine
Neutral	A middle-aged woman wearing a black sleeveless blouse applies mascara in a mirror.	in the other room her husband is already having breakfast
Invalidate	A black dog rears out of a pond, carrying a big stick in his mouth.	The dog takes a nap in his owner's house.
Support	A black dog rears out of a pond, carrying a big stick in his mouth.	The dog holds tightly onto the piece of wood.
Neutral	A black dog rears out of a pond, carrying a big stick in his mouth.	Most dogs enjoy playing with sticks.
Invalidate	An adult and a child walk along the beach during the day.	The adult lays the child in their crib for a nap.
Support	An adult and a child walk along the beach during the day.	The adult and child enjoy the sand between their toes.
Neutral	An adult and a child walk along the beach during the day.	The beach is a very popular attraction for families.
Invalidate	Ballroom dancers in the midst of a dance.	It is intermission at the dance festival
Support	Ballroom dancers in the midst of a dance.	The glide on the floor together as though they were one
Neutral	Ballroom dancers in the midst of a dance.	The ballroom is located in a large hotel in the area
Invalidate	A woman in a yellow top is standing with her hands on her hips.	she is sitting on the bus
Support	A woman in a yellow top is standing with her hands on her hips.	the woman leans on her waist while waiting
Neutral	A woman in a yellow top is standing with her hands on her hips.	waiting is tiring and stressful
Invalidate	A laughing child is holding a water gun and getting sprayed with water.	The child goes back inside after playtime.
Support	A laughing child is holding a water gun and getting sprayed with water.	The child runs around while getting sprayed withwater.
Neutral	A laughing child is holding a water gun and getting sprayed with water.	Rainy weather makes it a bad idea to play outside.
Invalidate	A pole mirror reflect a woman with a blue shirt carrying a bag.	She reaches home from shopping
Support	A pole mirror reflect a woman with a blue shirt carrying a bag.	She bought something and put into her belongings
Neutral	A pole mirror reflect a woman with a blue shirt carrying a bag.	The scientific instrument is used to see the objects very clearly
Invalidate	A man in a blue outfit rides a hang glider high over a neighborhood of houses.	He is fixing his hang glider.
Support	A man in a blue outfit rides a hang glider high over a neighborhood of houses.	He is is high in the sky flying there.
Neutral	A man in a blue outfit rides a hang glider high over a neighborhood of houses.	Young people like riding hang gliders.
Invalidate	Black children in an open-air hut write on wooden tablets.	Children went to play games outside.
Support	Black children in an open-air hut write on wooden tablets.	The children are learning alphabets with their teacher.
Neutral	Black children in an open-air hut write on wooden tablets.	Children are so curious about education.
Invalidate	A young boy sits next to a wind sculpture.	The boy finishes the tour and leaves for home
Support	A young boy sits next to a wind sculpture.	He stays near a moving piece of colorful art created by using the power of moving air.
Neutral	A young boy sits next to a wind sculpture.	He is going to have lunch
Invalidate	A young woman is sitting on the floor practicing Arabic letter formation using an inkwell.	the ink falls over and ruined her work
Support	A young woman is sitting on the floor practicing Arabic letter formation using an inkwell.	many people are there to watch that creation
Neutral	A young woman is sitting on the floor practicing Arabic letter formation using an inkwell.	Taking training to write the alphabets derived from Aramaic using a writing material will be useful in learning a language.
Invalidate	Brown dog jumping off of a deck.	the dog is white and only has 2 legs
Support	Brown dog jumping off of a deck.	he jumps off and on the deck all day.
Neutral	Brown dog jumping off of a deck.	the dog likes to jump
Invalidate	A boy with a red USA shirt is playing with a toy set.	The boy is eating his breakfast
