gold_label	sentence1	sentence2
Invalidate	a female is scrambling eggs in a bowl.	The eggs are very tasty.
Support	a female is scrambling eggs in a bowl.	Eggs are scrambled in a bowl.
Neutral	a female is scrambling eggs in a bowl.	All enjoying eating eggs scrabled ina bowl.
Invalidate	People playing soccer in the sand.	They are attending a lecture.
Support	People playing soccer in the sand.	The sport seems a fun way to exercise.
Neutral	People playing soccer in the sand.	Bagel shops often sell coffee as well.
Invalidate	A group of people sing and dance at a concert.	A group of people going to take rest.
Support	A group of people sing and dance at a concert.	A group of people enjoy the singing and dancing.
Neutral	A group of people sing and dance at a concert.	These days
Invalidate	Two people take in the scene as they stand together looking out over the canyon.	It starts to rain and two people walk back to the car.
Support	Two people take in the scene as they stand together looking out over the canyon.	Two people feel a sense of wonder while staring at the canyon.
Neutral	Two people take in the scene as they stand together looking out over the canyon.	The canyon is in a national park.
Invalidate	The horses race on the dirt track while their riders urge them on.	The horses all eat out of their troughs.
Support	The horses race on the dirt track while their riders urge them on.	The horses sprint as fast as they can.
Neutral	The horses race on the dirt track while their riders urge them on.	Most people enjoy watching horse racing.
Invalidate	A child painting a picture.	The framed picture reminded him of a time when he was young.
Support	A child painting a picture.	The child enjoy the way the brush feels as she paints fluidly.
Neutral	A child painting a picture.	The mother was amazed at the skill of her young child.
Invalidate	A group of people and a headless, legless mannequin are in a park.	strong earthquake evacuates parks and streets
Support	A group of people and a headless, legless mannequin are in a park.	The headless mannequin I donated is weird
Neutral	A group of people and a headless, legless mannequin are in a park.	Many groups of people like to park
Invalidate	A woman is putting a ribbon in a little girl's hair.	A woman prepares for lunch.
Support	A woman is putting a ribbon in a little girl's hair.	Woman put the ribbon the girls hair.
Neutral	A woman is putting a ribbon in a little girl's hair.	Most people like getting their hair done.
Invalidate	A rider on a blue motorcycle in traffic wearing a helmet.	The streets are closed and allow only people through temporarily.
Support	A rider on a blue motorcycle in traffic wearing a helmet.	The evening skies shine the moon on the riders helmet.
Neutral	A rider on a blue motorcycle in traffic wearing a helmet.	Dish out the listing of Susanne cookies.
Invalidate	A little girl in a pink genie outfit stepping over a puddle.	She changes her clothes because they are all wet
Support	A little girl in a pink genie outfit stepping over a puddle.	Her outfit makes her noticable throughout the entire neighborhood.
Neutral	A little girl in a pink genie outfit stepping over a puddle.	Wearing a genie outfit other than Halloween is considered weird.
Invalidate	A woman with a huge bag standing on a city street.	She is going to have lunch
Support	A woman with a huge bag standing on a city street.	She faces some difficulties in reaching home due to heavy traffic
Neutral	A woman with a huge bag standing on a city street.	We should be very careful when moving on the road
Invalidate	kids getting ready to hit a volleyball.	The kids are going to their houses after playing volleyball.
Support	kids getting ready to hit a volleyball.	The kids are enjoying the game so much.
