gold_label	sentence1	sentence2
Invalidate	Construction worker in the middle of doing his job working on a house.	Work is over for the day everyone is at home.
Support	Construction worker in the middle of doing his job working on a house.	Hammering nails
Neutral	Construction worker in the middle of doing his job working on a house.	It is crazy to think someone built the house I am sitting in now.
Invalidate	A man and a woman are sitting together in the dark, looking ahead at a city view in the distance.	it suddently started raining and they had to go home
Support	A man and a woman are sitting together in the dark, looking ahead at a city view in the distance.	It is a perfect spot for a romantic date
Neutral	A man and a woman are sitting together in the dark, looking ahead at a city view in the distance.	Who even knows what life is anymore.
Invalidate	Child plays in a city fountain.	The toddler is going to bed
Support	Child plays in a city fountain.	The toddler enjoys in a structure from which an artificially created stream of water
Neutral	Child plays in a city fountain.	Enjoys in a structure from which an artificially created stream of water will help to refresh the mind and stay strong.
Invalidate	Black man sells various toys in the street.	He is going to home
Support	Black man sells various toys in the street.	He does brisk business as the product attracts all kinds of children
Neutral	Black man sells various toys in the street.	When the trade is up and going smooth
Invalidate	People walk under the shade of a building.	Surrounded by sunlight the shade dissipates from the area.
Support	People walk under the shade of a building.	The shade provides them much needed relief from the beaming sun.
Neutral	People walk under the shade of a building.	They then continue to wait for the shop owner to return from lunch.
Invalidate	Three belly dancers posing.	The dancers perform at a recital that night.
Support	Three belly dancers posing.	The dancers are trying to take many pictures.
Neutral	Three belly dancers posing.	Belly dancing can be a good form of entertainment.
Invalidate	Two musicians are entertaining people in a city park, the flute player is wearing a blue feather boa.	The two Musicians are seen counting the collection received for their performance in the city park.
Support	Two musicians are entertaining people in a city park, the flute player is wearing a blue feather boa.	The impressed audience in the city park request the flute player to play country music.
Neutral	Two musicians are entertaining people in a city park, the flute player is wearing a blue feather boa.	Musical Performances in the city park has become a regular feature at this time of the year.
Invalidate	A man dressed in a dark costume sitting at a restaurant table	Birds sing to the rising sun outside of the closed restaurant.
Support	A man dressed in a dark costume sitting at a restaurant table	The actor is waiting for his cue to participate in the dinner theatre play.
Neutral	A man dressed in a dark costume sitting at a restaurant table	This play likes to dress its protagonists in dark clothes and its villains in light-coloured clothing.
Invalidate	Two dogs are playing together	The pets are taking a nap.
Support	Two dogs are playing together	The animals are knocking over furniture.
Neutral	Two dogs are playing together	Animals are fun to watch when they are playing.
Invalidate	Military trainees in a rubber raft hook a ladder onto a larger boat.	The boat is connected to a dock.
Support	Military trainees in a rubber raft hook a ladder onto a larger boat.	The rubber raft is connected to a larger boat with a hook.
Neutral	Military trainees in a rubber raft hook a ladder onto a larger boat.	It is morning when this excercise is done.
Invalidate	A gathering of people sit at a long white table and eat.	They are helping each other to clean the dishes.
Support	A gathering of people sit at a long white table and eat.	A young lady is passing the salt to her husband that is sitting in front of her.
Neutral	A gathering of people sit at a long white table and eat.	Family gatherings this big are so rare this days since people live in different cities and countries.
Invalidate	A janitor about to mop in a train station.	All the janitor worker have a lunch time playfully
Support	A janitor about to mop in a train station.	The junitor is planning to make train station look great
Neutral	A janitor about to mop in a train station.	Janitors like to clean train station
Invalidate	Snowboarder holding onto board while in midair.	He managed to land safely on the ground.
Support	Snowboarder holding onto board while in midair.	There is enough precision for the maneuver in the air to be perfect.
Neutral	Snowboarder holding onto board while in midair.	The snowboarding techniques learned were put into practice so that everything went perfectly.
Invalidate	Two brothers preparing the family dinner.	Two brothers are going to bed.
Support	Two brothers preparing the family dinner.	The brothers cook the food to the best of their ability.
Neutral	Two brothers preparing the family dinner.	These days
Invalidate	A man and a woman in steampunk costumes posing for a picture.	The two people eat food at a restaurant.
Support	A man and a woman in steampunk costumes posing for a picture.	The two people hold still for the photo.
Neutral	A man and a woman in steampunk costumes posing for a picture.	Some people like to dress up in costumes.
Invalidate	A man in sunglasses uses a large metal grill.	Someone is putting dinner in the oven.
Support	A man in sunglasses uses a large metal grill.	A man is flipping the hamburgers.
Neutral	A man in sunglasses uses a large metal grill.	Grilling outside is a good way to keep the house cool in summer.
Invalidate	These two dogs are walking in a forest.	They started to run towards a cave
Support	These two dogs are walking in a forest.	The dogs stride as quickly as they can.
Neutral	These two dogs are walking in a forest.	Most dogs like to be outside.
Invalidate	Two children are walking down the sidewalk along side a yellow and white wall.	There was no one out in the street.
Support	Two children are walking down the sidewalk along side a yellow and white wall.	They chat as the continue along down the road with the wall.
Neutral	Two children are walking down the sidewalk along side a yellow and white wall.	You should always look both ways before crossing the street.
Invalidate	A hard working person trying to clean up the woods.	The tireless cleaner sanitized the public toilets.
Support	A hard working person trying to clean up the woods.	The man sweeps the woods for any debris.
Neutral	A hard working person trying to clean up the woods.	The person seemed to spend an eternity in the woods.
Invalidate	Two guys riding bikes on a dirt road.	They got onto highway finally
Support	Two guys riding bikes on a dirt road.	The nikes are raging with competition
Neutral	Two guys riding bikes on a dirt road.	Boys enjoy bike rides with friends.
Invalidate	Some Marines in an honor guard are carrying flags and marching in a low key parade in front of a few spectators sitting on a curb.	The Marines finish their march with a salute to the spectators watching.
Support	Some Marines in an honor guard are carrying flags and marching in a low key parade in front of a few spectators sitting on a curb.	The marines march in a straight line down the road.
Neutral	Some Marines in an honor guard are carrying flags and marching in a low key parade in front of a few spectators sitting on a curb.	People often like to watch marches during a parade.
Invalidate	Four women in bikinis are playing volleyball on the beach.	The four women take showers to clean off all the sand.
Support	Four women in bikinis are playing volleyball on the beach.	The four women are practicing bumping and spiking.
Neutral	Four women in bikinis are playing volleyball on the beach.	Volleyball is a good form of exercise.
Invalidate	A man in a black shirt is at a skateboard park holding his skateboard.	The man in black leaving the skatepark.
Support	A man in a black shirt is at a skateboard park holding his skateboard.	The man in black doesn't want to go home yet.
Neutral	A man in a black shirt is at a skateboard park holding his skateboard.	The man in black may or may not leave the skatepark.
Invalidate	A crowd of people on the sidewalk with a bus driving by.	The is no one to be seen on the street.
Support	A crowd of people on the sidewalk with a bus driving by.	They all appear to be looking at the same thing.
Neutral	A crowd of people on the sidewalk with a bus driving by.	Public transit is available in most major cities.
Invalidate	a young boy lying in the street with a red bike over him	the boy hurt himself at the knee because of the fall
Support	a young boy lying in the street with a red bike over him	a woman passing by helping the boy to get up
Neutral	a young boy lying in the street with a red bike over him	the bike had a malfunction
Invalidate	A yellow dog with a red bandanna fallen through the crust of the snow.	Her fur is fully dry now but I fear she has caught a cold.
Support	A yellow dog with a red bandanna fallen through the crust of the snow.	She is a great swimmer but the snow is so cold.
Neutral	A yellow dog with a red bandanna fallen through the crust of the snow.	People need to be wary when walking on thin ice with their pets.
Invalidate	An Asian family sits down for a snack	Everyone is bruching their teeth.
Support	An Asian family sits down for a snack	The talk and laugh as they enjoy their food.
Neutral	An Asian family sits down for a snack	Family time is important for children.
Invalidate	A man uses a homemade broom.	The man decides to wash his hands.
Support	A man uses a homemade broom.	He is sweeping because the floor is dirty.
Neutral	A man uses a homemade broom.	People often sweep their houses to keep them clean.
Invalidate	A man standing on footstool in front of hat stand	An elderly decided to walk to find a bench away from commercial street stores
Support	A man standing on footstool in front of hat stand	While he is answering a survey
Neutral	A man standing on footstool in front of hat stand	These days you don't buy hats on streets anymore
Invalidate	Three jockeys mounted on horses ride in race.	The jockeys get some food in the locker room.
Support	Three jockeys mounted on horses ride in race.	The jockeys try hard to go faster than the other two.
Neutral	Three jockeys mounted on horses ride in race.	Most people enjoy watching horse racing.
Invalidate	Deli man slicing meat thin and weighing the sliced pieces.	The deli has been closed for the day.
Support	Deli man slicing meat thin and weighing the sliced pieces.	It is less than what it needs to be.
Neutral	Deli man slicing meat thin and weighing the sliced pieces.	The gur really loves sandwiches.
Invalidate	A few people are on sitting on a train.	when they got home
Support	A few people are on sitting on a train.	the motion of the vehicle doen't let them sleep
Neutral	A few people are on sitting on a train.	trais are a very good way to move around town
Invalidate	A fruit vendor trying to sell his fruit in a market.	The market has been closed for the day
Support	A fruit vendor trying to sell his fruit in a market.	He smiles and waves at his prospective customers.
Neutral	A fruit vendor trying to sell his fruit in a market.	Fruit is a healthy part of a balanced diet.
Invalidate	A white guy wearing a wetsuit is water-skiing.	Dry clothes made him feel good.
Support	A white guy wearing a wetsuit is water-skiing.	An adventure of this kind lifts your spirits.
Neutral	A white guy wearing a wetsuit is water-skiing.	Venture into the sea if you are feeling low.
Invalidate	The young man has just crossed a rickety footbridge.	He is taking an afternoon nap.
Support	The young man has just crossed a rickety footbridge.	The sun came up over the bridge just right.
Neutral	The young man has just crossed a rickety footbridge.	Walks are a good way to clear the mind.
Invalidate	A rhythmic gymnast in a blue and pink outfit performs a ribbon routine.	The rhythmic gymnast is on a bus.
Support	A rhythmic gymnast in a blue and pink outfit performs a ribbon routine.	There is an applause from the crowd as the gymnast performs.
Neutral	A rhythmic gymnast in a blue and pink outfit performs a ribbon routine.	Rhythmic gymnasts are usually agile.
Invalidate	A woman cutting construction paper for a detailed project.	The woman gets some food in the kitchen.
Support	A woman cutting construction paper for a detailed project.	The woman tries to be precise with the scissors.
Neutral	A woman cutting construction paper for a detailed project.	Most people enjoy making art projects.
Invalidate	Dogs chase each other.	The dogs are sleeping inside.
Support	Dogs chase each other.	The dogs are panting as they run around.
Neutral	Dogs chase each other.	Most dogs enjoy chasing and playing with one another.
Invalidate	A baby is looking quite tired as she sits inside a luggage bag.	The baby sleeps comfortably in a luggage bag.
Support	A baby is looking quite tired as she sits inside a luggage bag.	She has been tired for hours and finally succumb to slumber.
Neutral	A baby is looking quite tired as she sits inside a luggage bag.	Babies tend to fall asleep anywhere.
Invalidate	A man in blue pants is jumping while band plays music.	The man in blue pants is heading home.
Support	A man in blue pants is jumping while band plays music.	The man recognizes the song that the band is playing.
Neutral	A man in blue pants is jumping while band plays music.	Seeing bands perform is a fun thing for him to do on the weekends.
Invalidate	A young girl doing a back flip in the water.	the girl slipped and hit a stone hurting herself
