gold_label	sentence1	sentence2
Invalidate	People stand in the street outside of some tall cream colored buildings.	Street lights are not working and it is too dark outside so no one is passing from that street.
Support	People stand in the street outside of some tall cream colored buildings.	There is a group of people standing outside and planning for a rally.
Neutral	People stand in the street outside of some tall cream colored buildings.	These streets look beautiful during evening in moon light.
Invalidate	Person jumps toward light in photo studio.	The business had closed for the day.
Support	Person jumps toward light in photo studio.	He laughs as the photographer snaps a great shot.
Neutral	Person jumps toward light in photo studio.	Photos are a great way to preserve memories.
Invalidate	A child flips on a trampoline.	The child goes inside for dinner
Support	A child flips on a trampoline.	The child jumps very high
Neutral	A child flips on a trampoline.	Trampolines are dangerous for children
Invalidate	A man riding on his red motorcycle stopped to help an old man till his garden.	the man changed his idea because he was late for work
Support	A man riding on his red motorcycle stopped to help an old man till his garden.	the old man needs a hand because he couldn't reach the higher parts of the tree
Neutral	A man riding on his red motorcycle stopped to help an old man till his garden.	it is the perfet day to do some gardening
Invalidate	A woman serves food on the side of the road.	A woman clean the vessel washing
Support	A woman serves food on the side of the road.	People are enjoy to eat the food
Neutral	A woman serves food on the side of the road.	Food serve is give the happiness but preparation is difficult
Invalidate	Five white puppies and several chickens compete for food	the farmer entered and all the chikens get scared
Support	Five white puppies and several chickens compete for food	it is the first meal of the day for them
Neutral	Five white puppies and several chickens compete for food	the farm is full of animals such as cows and horses
Invalidate	a brown dog running down a paved pathway	A dog barks at the stranger.
Support	a brown dog running down a paved pathway	Dog is running behind an  object.
Neutral	a brown dog running down a paved pathway	Dogs usually run very fast.
Invalidate	A small blond boy slides head first down a blue playground slide toward another blond youth.	The other boy jumps off the slide and avoids him.
Support	A small blond boy slides head first down a blue playground slide toward another blond youth.	The boy tries to go down very quickly.
Neutral	A small blond boy slides head first down a blue playground slide toward another blond youth.	Most kids like playing on the slide.
Invalidate	Three women are walking together.	They say goodbye.
Support	Three women are walking together.	The women go to a restaurant for food.
Neutral	Three women are walking together.	Most people consider walking a good form of exercise.
Invalidate	Three women in pink dresses, standing on grass, are holding flowers on a sunny day.	The women go to shower at their homes.
Support	Three women in pink dresses, standing on grass, are holding flowers on a sunny day.	The women love the feeling of the flowers in their hands.
Neutral	Three women in pink dresses, standing on grass, are holding flowers on a sunny day.	Flowers are a good gift for most women.
Invalidate	A singer standing in green light.	A singer is home practicing.
Support	A singer standing in green light.	A singer is putting on clothing for the performance.
Neutral	A singer standing in green light.	A pianist is playing accompaniment.
Invalidate	A boy, with blue goggles, swimming in a pool.	Everyone had left and gone home for the day.
Support	A boy, with blue goggles, swimming in a pool.	He kicks his feet and splashed towards the surface.
Neutral	A boy, with blue goggles, swimming in a pool.	Extra caution should be exercised while playing in the pool.
Invalidate	Man crouching on rocks by the ocean shore	The man gets some food at a restaurant.
Support	Man crouching on rocks by the ocean shore	The man stays low to the rocks as long as he can.
Neutral	Man crouching on rocks by the ocean shore	Most people enjoy going to the ocean shore.
Invalidate	A man lounges on a red sofa in a furniture showroom.	A man is leaving the furniture store after looking at the sofas.
Support	A man lounges on a red sofa in a furniture showroom.	The man enjoys trying out all of the furniture in the store.
Neutral	A man lounges on a red sofa in a furniture showroom.	Many people enjoy looking at all their is to offer in the furniture store.
Invalidate	A man in skis is suspended in air.	The man puts his skis in a shelter.
Support	A man in skis is suspended in air.	The man is scared that he will fall.
Neutral	A man in skis is suspended in air.	Skiing is a fun hobby in the winter.
Invalidate	A boy bouncing on a trampoline.	The boy goes to sleep.
Support	A boy bouncing on a trampoline.	His sister jumps on with her brother.
Neutral	A boy bouncing on a trampoline.	Jumping is a great form of exercise for kids.
Invalidate	A young woman wearing a brown shirt and glasses is standing at a jewelry counter.	The brown shirt then turns blue.
Support	A young woman wearing a brown shirt and glasses is standing at a jewelry counter.	She then asks the employee the price range for the jewels.
Neutral	A young woman wearing a brown shirt and glasses is standing at a jewelry counter.	She then realizes that her wrist begin to itch.
Invalidate	Two women sitting on a bench looking across the street.	The women went to the shops.
Support	Two women sitting on a bench looking across the street.	The women can see the houses.
Neutral	Two women sitting on a bench looking across the street.	Sitting on a bench and taking in your surroundings can be relaxing.
Invalidate	A pair of hands is spreading a black liquid onto a gray surface	the wrong colour is picked by the worker that has to start over again
Support	A pair of hands is spreading a black liquid onto a gray surface	the worker is about to finish his work in that house
Neutral	A pair of hands is spreading a black liquid onto a gray surface	tha whole team helped th man with his work
Invalidate	A chef on a unicycle juggles through a crowd of spectators.	The chef cooks a big meal.
Support	A chef on a unicycle juggles through a crowd of spectators.	The chef tries to make sure the balls don't fall.
Neutral	A chef on a unicycle juggles through a crowd of spectators.	Most people can't ride a unicycle.
